"Train/step","edqn_2024-12-11_13-29-49 - _step","edqn_2024-12-11_13-29-49 - _step__MIN","edqn_2024-12-11_13-29-49 - _step__MAX","edqn_2024-12-11_13-29-49 - Train/loss","edqn_2024-12-11_13-29-49 - Train/loss__MIN","edqn_2024-12-11_13-29-49 - Train/loss__MAX","no_dueling_2024-12-10_13-06-23 - _step","no_dueling_2024-12-10_13-06-23 - _step__MIN","no_dueling_2024-12-10_13-06-23 - _step__MAX","no_dueling_2024-12-10_13-06-23 - Train/loss","no_dueling_2024-12-10_13-06-23 - Train/loss__MIN","no_dueling_2024-12-10_13-06-23 - Train/loss__MAX","noe_FactoryTaskAllocationMiC_2024-12-09_21-42-46 - _step","noe_FactoryTaskAllocationMiC_2024-12-09_21-42-46 - _step__MIN","noe_FactoryTaskAllocationMiC_2024-12-09_21-42-46 - _step__MAX","noe_FactoryTaskAllocationMiC_2024-12-09_21-42-46 - Train/loss","noe_FactoryTaskAllocationMiC_2024-12-09_21-42-46 - Train/loss__MIN","noe_FactoryTaskAllocationMiC_2024-12-09_21-42-46 - Train/loss__MAX","epsilon_nosiy_FactoryTaskAllocationMiC_2024-12-09_14-31-02 - _step","epsilon_nosiy_FactoryTaskAllocationMiC_2024-12-09_14-31-02 - _step__MIN","epsilon_nosiy_FactoryTaskAllocationMiC_2024-12-09_14-31-02 - _step__MAX","epsilon_nosiy_FactoryTaskAllocationMiC_2024-12-09_14-31-02 - Train/loss","epsilon_nosiy_FactoryTaskAllocationMiC_2024-12-09_14-31-02 - Train/loss__MIN","epsilon_nosiy_FactoryTaskAllocationMiC_2024-12-09_14-31-02 - Train/loss__MAX","epsilon_FactoryTaskAllocationMiC_2024-12-08_17-36-58 - _step","epsilon_FactoryTaskAllocationMiC_2024-12-08_17-36-58 - _step__MIN","epsilon_FactoryTaskAllocationMiC_2024-12-08_17-36-58 - _step__MAX","epsilon_FactoryTaskAllocationMiC_2024-12-08_17-36-58 - Train/loss","epsilon_FactoryTaskAllocationMiC_2024-12-08_17-36-58 - Train/loss__MIN","epsilon_FactoryTaskAllocationMiC_2024-12-08_17-36-58 - Train/loss__MAX","FactoryTaskAllocationMiC_2024-12-08_15-44-10 - _step","FactoryTaskAllocationMiC_2024-12-08_15-44-10 - _step__MIN","FactoryTaskAllocationMiC_2024-12-08_15-44-10 - _step__MAX","FactoryTaskAllocationMiC_2024-12-08_15-44-10 - Train/loss","FactoryTaskAllocationMiC_2024-12-08_15-44-10 - Train/loss__MIN","FactoryTaskAllocationMiC_2024-12-08_15-44-10 - Train/loss__MAX"
"100200","5617","5617","5617","0.16432404518127441","0.16432404518127441","0.16432404518127441","5617","5617","5617","0.12205076217651367","0.12205076217651367","0.12205076217651367","10404","10404","10404","0.13447445631027222","0.13447445631027222","0.13447445631027222","5751","5751","5751","0.1533297896385193","0.1533297896385193","0.1533297896385193","5751","5751","5751","0.14018049836158752","0.14018049836158752","0.14018049836158752","5751","5751","5751","0.1683328002691269","0.1683328002691269","0.1683328002691269"
"100400","5627","5627","5627","0.15031583607196808","0.15031583607196808","0.15031583607196808","5627","5627","5627","0.10899563878774643","0.10899563878774643","0.10899563878774643","10425","10425","10425","0.15875592827796936","0.15875592827796936","0.15875592827796936","5761","5761","5761","0.28545403480529785","0.28545403480529785","0.28545403480529785","5761","5761","5761","0.12593960762023926","0.12593960762023926","0.12593960762023926","5761","5761","5761","0.2657850682735443","0.2657850682735443","0.2657850682735443"
"100600","5637","5637","5637","0.08992020040750504","0.08992020040750504","0.08992020040750504","5640","5640","5640","0.05725828558206558","0.05725828558206558","0.05725828558206558","10453","10453","10453","0.14944612979888916","0.14944612979888916","0.14944612979888916","5776","5776","5776","0.18371328711509705","0.18371328711509705","0.18371328711509705","5776","5776","5776","0.21714650094509125","0.21714650094509125","0.21714650094509125","5776","5776","5776","0.12943574786186218","0.12943574786186218","0.12943574786186218"
"100800","5649","5649","5649","0.09402172267436981","0.09402172267436981","0.09402172267436981","5655","5655","5655","0.1047511026263237","0.1047511026263237","0.1047511026263237","10481","10481","10481","0.10152436792850494","0.10152436792850494","0.10152436792850494","5786","5786","5786","0.1466985046863556","0.1466985046863556","0.1466985046863556","5788","5788","5788","0.1391250491142273","0.1391250491142273","0.1391250491142273","5787","5787","5787","0.14067359268665314","0.14067359268665314","0.14067359268665314"
"101000","5659","5659","5659","0.08738923072814941","0.08738923072814941","0.08738923072814941","5665","5665","5665","0.15422366559505463","0.15422366559505463","0.15422366559505463","10509","10509","10509","0.17656338214874268","0.17656338214874268","0.17656338214874268","5798","5798","5798","0.3496398627758026","0.3496398627758026","0.3496398627758026","5798","5798","5798","0.11501534283161163","0.11501534283161163","0.11501534283161163","5797","5797","5797","0.16055437922477722","0.16055437922477722","0.16055437922477722"
"101200","5671","5671","5671","0.07863061875104904","0.07863061875104904","0.07863061875104904","5677","5677","5677","0.13263720273971558","0.13263720273971558","0.13263720273971558","10537","10537","10537","0.08166761696338654","0.08166761696338654","0.08166761696338654","5810","5810","5810","0.11793303489685059","0.11793303489685059","0.11793303489685059","5813","5813","5813","0.13678288459777832","0.13678288459777832","0.13678288459777832","5810","5810","5810","0.350986510515213","0.350986510515213","0.350986510515213"
"101400","5684","5684","5684","0.08128006011247635","0.08128006011247635","0.08128006011247635","5689","5689","5689","0.08551033586263657","0.08551033586263657","0.08551033586263657","10565","10565","10565","0.10969004780054092","0.10969004780054092","0.10969004780054092","5825","5825","5825","0.07805603742599487","0.07805603742599487","0.07805603742599487","5826","5826","5826","0.09264400601387024","0.09264400601387024","0.09264400601387024","5825","5825","5825","0.15194392204284668","0.15194392204284668","0.15194392204284668"
"101600","5698","5698","5698","0.11964882910251617","0.11964882910251617","0.11964882910251617","5699","5699","5699","0.09372838586568832","0.09372838586568832","0.09372838586568832","10593","10593","10593","0.1558953821659088","0.1558953821659088","0.1558953821659088","5840","5840","5840","0.10869036614894867","0.10869036614894867","0.10869036614894867","5836","5836","5836","0.1526641845703125","0.1526641845703125","0.1526641845703125","5835","5835","5835","0.12420783936977386","0.12420783936977386","0.12420783936977386"
"101800","5708","5708","5708","0.1305135041475296","0.1305135041475296","0.1305135041475296","5711","5711","5711","0.06403345614671707","0.06403345614671707","0.06403345614671707","10624","10624","10624","0.18198472261428833","0.18198472261428833","0.18198472261428833","5850","5850","5850","0.2293463498353958","0.2293463498353958","0.2293463498353958","5850","5850","5850","0.11691218614578247","0.11691218614578247","0.11691218614578247","5850","5850","5850","0.30234065651893616","0.30234065651893616","0.30234065651893616"
"102000","5721","5721","5721","0.11089983582496643","0.11089983582496643","0.11089983582496643","5721","5721","5721","0.06700839102268219","0.06700839102268219","0.06700839102268219","10652","10652","10652","0.20212960243225098","0.20212960243225098","0.20212960243225098","5864","5864","5864","0.10776974260807037","0.10776974260807037","0.10776974260807037","5863","5863","5863","0.19769543409347534","0.19769543409347534","0.19769543409347534","5864","5864","5864","0.14538075029850006","0.14538075029850006","0.14538075029850006"
